quarter,currency
1993Q1,580.1041666666666
1993Q2,914.3333333333334
1993Q3,1024.673076923077
1993Q4,1206.48
1994Q1,1583.5652173913043
1994Q2,1872.68
1994Q3,2162.5185185185187
1994Q4,3204.346153846154
1995Q1,4311.28
1995Q2,4920.458333333333
1995Q3,4467.653846153846
1995Q4,4553.333333333333
1996Q1,4764.56
1996Q2,5003.880952380952
1996Q3,5266.328125
1996Q4,5482.123076923077
1997Q1,5652.866666666667
1997Q2,5765.073770491803
1997Q3,5814.5
1997Q4,5904.6349206349205
1998Q1,6.045808333333333
1998Q2,6.150237704918033
1998Q3,9.117445454545456
1998Q4,17.4806703125
1999Q1,22.918666666666677
1999Q2,24.49770491803278
1999Q3,24.816818181818178
1999Q4,26.26730158730159
2000Q1,28.489180327868855
2000Q2,28.38327868852459
2000Q3,27.792424242424243
2000Q4,27.88555555555556
2001Q1,28.553606557377055
2001Q2,28.9967213114754
2001Q3,29.332307692307694
2001Q4,29.79806451612903
2002Q1,30.78520333333332
2002Q2,31.27475901639344
2002Q3,31.56326
2002Q4,31.7767015625
2003Q1,31.655418644067794
2003Q2,30.88039836065574
2003Q3,30.432371212121215
2003Q4,29.813365625000003
2004Q1,28.62782
2004Q2,28.893672131147536
2004Q3,29.17235
2004Q4,28.5196703125
2005Q1,27.854108928571428
2005Q2,28.088652459016398
2005Q3,28.51808484848485
2005Q4,28.713010769230767
2006Q1,28.07754464285714
2006Q2,27.20260161290322
2006Q3,26.805696969696964
2006Q4,26.5861921875
2007Q1,26.30368947368421
2007Q2,25.85777096774193
2007Q3,25.503326153846157
2007Q4,24.64817230769231
2008Q1,24.245628571428572
2008Q2,23.622861290322575
2008Q3,24.227933333333333
2008Q4,27.264595384615383
2009Q1,34.39277678571428
2009Q2,32.2562564516129
2009Q3,31.336022727272724
2009Q4,29.475284615384616
2010Q1,29.84229285714286
2010Q2,30.24477096774194
2010Q3,30.618963636363635
2010Q4,30.716353846153847
2011Q1,29.16395892857143
2011Q2,28.005322580645164
2011Q3,29.076825757575754
2011Q4,31.24199846153846
2012Q1,30.027801754385965
2012Q2,31.061962903225805
2012Q3,31.998527692307693
2012Q4,31.07904769230769
2013Q1,30.415821052631575
2013Q2,31.66095423728814
2013Q3,32.79849230769231
2013Q4,32.54386153846154
2014Q1,35.143615789473685
2014Q2,35.024245
2014Q3,36.16238181818183
2014Q4,47.55393125
2015Q1,63.191936363636366
2015Q2,52.7653
2015Q3,63.003619696969686
2015Q4,66.05264153846154
2016Q1,74.91030178571428
2016Q2,65.92980983606557
2016Q3,64.61056666666667
2016Q4,62.9801276923077
2017Q1,58.641644642857145
2017Q2,57.09763770491803
2017Q3,59.01548636363636
2017Q4,58.4022109375
2018Q1,56.81486964285715
2018Q2,61.913006557377045
2018Q3,65.55148153846154
2018Q4,66.5176276923077
2019Q1,65.74295789473683
2019Q2,64.52174406779662
2019Q3,64.59361846153847
2019Q4,63.74488615384617
2020Q1,66.62626607142856
2020Q2,72.04791428571428
2020Q3,73.56878333333334
2020Q4,76.20301076923077
2021Q1,74.36855178571429
2021Q2,74.29357580645163
2021Q3,73.47093484848484
2021Q4,72.6543046875
2022Q1,87.3478625
2022Q2,66.51414
2022Q3,59.47827272727273
2022Q4,62.69369692307692
2023Q1,72.97114285714285
2023Q2,81.24019180327869
2023Q3,94.20011666666664
2023Q4,92.75335312499999
